TL,TR,BL,BR
0,686,0,0
0,635,0,0
0,537,0,0
0,427,0,0
0,400,0,0
0,301,0,0
0,401,0,0
0,489,0,0
0,494,0,0
0,402,0,0
0,391,0,0
0,532,0,0
0,496,0,0
0,379,0,0
0,433,0,0
0,560,0,0
0,286,0,0
0,464,0,0
0,336,0,0
0,223,0,0
0,148,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,0
0,0,39,0
0,0,51,0
0,0,17,0
0,0,78,0
0,0,150,0
0,0,197,0
0,0,169,0
0,0,190,0
0,0,162,0
0,0,112,0
0,0,126,0
0,0,187,0
0,0,272,0
0,0,447,0
0,0,467,0
0,0,661,0
0,0,669,0
0,0,629,0
0,0,692,0
0,0,731,0
0,0,822,0
0,0,795,0
0,0,733,0
0,0,600,0
0,0,479,0
0,0,368,0
0,0,209,0
0,0,187,0
0,0,265,0
0,0,318,0
0,0,448,0
0,0,694,0
0,0,917,0
0,0,798,0
0,0,880,0
0,0,701,0
0,0,382,0
0,0,32,0
0,0,132,0
0,3,0,0
0,0,0,0
0,107,0,0
0,51,0,0
0,0,0,0
0,113,0,0
0,0,0,0
0,0,0,0
0,10,0,0
0,0,0,0
0,0,0,0
19,2,0,0
35,0,0,0
73,0,0,0
130,0,0,0
223,0,0,0
387,0,0,0
375,0,0,0
451,0,0,0
677,0,0,0
677,0,0,0
544,0,0,0
640,0,0,0
579,0,0,0
336,0,0,0
459,0,0,0
378,0,0,0
277,0,0,0
333,34,0,0
295,62,0,0
183,75,0,0
266,137,0,0
206,189,0,0
70,183,0,0
20,218,0,0
22,283,0,0
0,246,0,0
0,262,0,0
0,364,0,0
0,494,0,0
30,563,0,0
46,594,0,0
0,595,0,0
0,548,0,0
0,581,0,0
0,631,0,0
0,661,0,0
0,663,0,0
0,685,0,0
0,640,0,0
0,630,0,0
0,679,0,0
0,731,0,0
0,702,0,0
0,666,0,0
0,587,0,0
0,694,0,0
0,585,0,0
0,464,0,0
0,484,0,0
0,541,0,0
0,453,0,0
0,485,14,0
0,496,5,0
0,368,0,0
0,425,0,0
0,272,0,0
0,288,0,0
0,353,0,0
0,331,0,0
0,375,0,0
0,266,0,0
0,179,0,0
0,40,0,0
0,21,0,0
0,38,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,35,0
0,0,37,0
0,0,80,0
0,0,116,0
0,0,145,0
0,0,177,0
0,0,250,0
0,0,306,0
0,0,441,0
0,0,483,0
0,0,623,0
0,0,582,0
0,0,788,0
0,0,761,0
0,0,772,0
0,0,734,0
0,0,647,0
0,0,618,0
0,0,533,0
0,0,416,0
0,0,479,0
0,0,433,0
0,0,526,0
0,0,714,0
0,0,857,0
0,0,919,0
0,0,858,0
0,0,759,0
0,0,717,0
0,0,681,0
0,0,428,0
0,0,215,0
0,0,154,0
0,0,343,0
0,0,113,0
0,0,272,0
0,35,0,0
0,112,240,0
0,159,0,0
0,267,3,0
0,200,111,0
